20070123155027AA7UTFD	Entertainment & Music;Polls & Surveys	Are you into romance or blood and gore?	I like a combination of both and yes I'm weird. =P
20060815151937AAoN31X	Entertainment & Music;Music	What do you think of Christina's new song?	What do you think of her new song "Oh mother"    i caught it yesterday on a special interview they had of her. I heard her perform it, and i was just amazed. That was a very emotional and beautiful song. You can tell how much it still hurts her.
20060901081004AA41LQv	Entertainment & Music;Music	Chi lo sa chi era...?	il bellissimo sid vicious dei sex pistols??? ora poveretto è morto d'overdose da un bel pò di anni, ma chi non lo trova figo???
20060904174022AA1NRda	Entertainment & Music;Celebrities	How to make T-shirts at home?	Can anybody tell me how would I put a picture on a t-shirt without having to go to this "fancy" place to get it made like make it at home, and how mich would it cost and how long would it take.
20060908090831AAve5gC	Entertainment & Music;Music	Song in the bulmers/magners tv ad?	Whats the name of the song and artist used in the bulmers/magners tv ads?
20060909193239AAYnW5v	Entertainment & Music;Music	Singing or acting auditions in the houston area? Particulary for teens?	Im 15 and loves to sing. If you have any detail about auditons or casting calls pleasssseeee let me know, i will really appreciate!
20060915132200AAnG6CD	Entertainment & Music;Television	Por que os flinstones comemoravam o natal se eles viviam numa poca antes de Cristo?	N/A
20060916205951AAOXp6D	Entertainment & Music;Music	What is this name of the Luther Vandross song?	It goes somethin like: "havin a party" and he say somethin about "tip by her window". Then the background part goes"Ooh bad boy!"....The song is about a lil boy dat sneak out his mama house and "tip by her window", then he come back home.....or somethin like that...Could yall please help me out. Put the ACTUAL name of the song please......
20060917205950AAOTOrk	Entertainment & Music;Music	Who sings this song? or whats this song called?	i only no a little of it so sorry if its not enough....      it goes like this...      "do you feel like a man,   when you push her around.   Do you feel better now,   as she falls to the ground.      thanks all i no also i think the people who sing it they're celled jumpsuit something. thanks a million!!
20060918110720AA3T3F9	Entertainment & Music;Other - Entertainment	Who's going or has been to see Wicked in London???	N/A
20060918155531AAAQUm2	Entertainment & Music;Music	Where did YSIforums.net move to?	Does anyone know where it moved to?
20060920144126AAC2Vnk	Entertainment & Music;Polls & Surveys	Qual a cidade brasileira que tem o nome mais estanho, engra?ado ou grotesco?	N?o "invente", cite as que realmente existem, de preferência de qual Estado
20060927111053AAa4Ogs	Entertainment & Music;Music	How to do you get discover in the hip-hop business?	I get lyrical skills but I don't know how the business work. Can anyone teach me how to be a MC?
20061010064217AACLTF2	Entertainment & Music;Other - Entertainment	Gibt es Harry Potter Bücher als Taschenbuch auf deutsch?	N/A
20061012083156AAAO6pM	Entertainment & Music;Jokes & Riddles	EIn REATSEL! Wer kanns loesen?	Ihr steht for einem Raum mit verschlossener tuer und drei Lichtschaltern. Von aussen koennt ihr nicht in den raum sehen.    In dem raum ist eine Gluehbirne. Ihr koennt an den drei Lichtschalter so oft rumschalten wie ihr wollt, habt aber nur eine chance um rein zu gehen um dann zu wissen welcher Lichtschalter es ist.   Und jetzt die grosse frage:   Wie koennt ihr rausfinden welcher Lichtschalter es ist um die gluehbirne zum leuchten zu bringen???
20061013080420AAWfvoe	Entertainment & Music;Jokes & Riddles	Wieder was für schlaue?	Ein Mann hat 9 B?lle. Einer davon ist leichter als alle anderen. Der Mann darf nur zwei mal wiegen und muss wissen welcher Ball anders ist.   Wie geht der schlaue Mann vor?????????
20061115150007AAbGdQa	Entertainment & Music;Movies	Wann kommt Yahoo!Clever endlich in die Kinos?	N/A
20061020124929AAjy4cU	Entertainment & Music;Television	Welchen Film fandet ihr so richtig zum Weinen?	N/A
20061014063903AAZ5xrb	Entertainment & Music;Music	Ich bin franzoesisch, koennen Sie mir deutsche Rockgruppen beraten, bitte?	N/A
20061014064625AAHLE39	Entertainment & Music;Music	K?nnt ihr mia vielleicht helfen????	ich habe ein clip in dem ein lied bei is wovon ich gerne wissen würde wer es singt und wie es hei?t vielleicht  k?nnt ihr mia weiter helfen were voll nett !!!!   das is dat video :    http://www.youtube.com/watch?v=JLDlvDuFo... 
20061019020918AAn5oY6	Entertainment & Music;Music	Wie findest du das???	 http://www.youtube.com/watch?v=b66MFwKzX... 
20061019042218AARXPAf	Entertainment & Music;Other - Entertainment	Was machen?	Wie verhaltet ihr euch wenn ihr etwas sch?nes besorgt habt, oder etwas beherrscht, was ein freund bekannte nicht kann, und der neid ihm aus dem gesicht spricht. entschuldigt ihr euch indirekt, oder sagt ihr, hey, kauf oder besorg dir dieses jenes doch auch, oder tut ihr so als w?re es das normalste weil in jedem menschen neid ist.      Ich bin dann meistens so nett und sage kauf es dir doch auch : )!!! warum auch nicht!!
20061020075531AAjNvbO	Entertainment & Music;Music	Habe eine tonbandmaschine revox b77 und nun die frage?	gibt es noch baender zu kaufen
20061021065039AA753iF	Entertainment & Music;Jokes & Riddles	Wer kann mir ein paar raetsel stellen??	Ich m?chte ein wenig spa? haben bitte schreibt die l?sung unten hin
20061022094643AA7JtGZ	Entertainment & Music;Television	Wer ist euer lieblings schauspieler bzw schauspielerin??	N/A
20061023070423AASqTrU	Entertainment & Music;Music	Werden die ?rzte (Beste Band der Welt) auf dem Sylvesterkonzert ihre Aufl?sung bekanntgeben?	...und danach nur noch solo weitermachen?
20061122094927AAcbv8W	Entertainment & Music;Comics & Animation	Wie hei?t der Schlumpf, der alles hasst?	Ja. Wie?
20061025152831AARWbQy	Entertainment & Music;Music	What is that song played by high school bands...?	It's a pep song often played by high school bands. It starts out with really low brass-very intimidating. It's stuck in my head and I want to know what it is.
20061026032533AAc6P7T	Entertainment & Music;Other - Entertainment	6th form common room, space invaders, tank, acdc, in a pavilion..great place, what was yours like?	N/A
20061027003025AABcNpK	Entertainment & Music;Celebrities	Welcome to another edition of my "Guess The Celebrity" game! Can you tell who I'm talking about?	- Young actress born in California.      - She performed on the TV series "Flipper".      - Has three tattoos.      - In 2005 she announced that she was beginning a children's clothing line.      - She has been featured on E's "101 Sexiest Bodies", Maxim's "Hot 100" and FHM's "Sexiest 100" lists, among others.
20061027205627AA9TdJ0	Entertainment & Music;Comics & Animation	In which software a 2D character is made?	Like Cartoon Character on Cartoon Chanel
20061029145149AAdT6DH	Entertainment & Music;Comics & Animation	Wann kommen endlich die simpsons in die kinos??	N/A
20061030101849AAPDmkj	Entertainment & Music;Music	Warum tanzt man eigentlich?	in der disco? ist man nicht schon genug von der Woche ersch?pft?
20061031141611AAgKt0G	Entertainment & Music;Celebrities	What was Bob Barker's address when he lived in Springfield Missouri while going to college?	N/A
20061031144950AAPdnUI	Entertainment & Music;Polls & Surveys	Sind ernie und bert aus der muppet show schwul?	N/A
20061101135802AAi6yXD	Entertainment & Music;Music	I am looking for the name of a reggae lovers rock song.?	it was by a woman and had the following lyrics: I dont want a man 2 take me for a ride, just give me some loving, some good good loving.
20061204125708AAGJUdQ	Entertainment & Music;Other - Entertainment	Welcher Player kann Avi Dateien Wiedergeben?	Ich habe mir neulich eine Video Datei (Sch?nste Ch.League Momente) heruntergeladen, muste feststellen dass es sich um eine Avi Datei handelt die weder die neuste Version des Mediaplayers noch mein Real Player wiedergeben konnte.   Mit was kann ich sie denn ?ffnen?
20061103122017AAUVXGo	Entertainment & Music;Celebrities	What is it like being the being producer of that's so Raven?	I am your biggest fan ever and we have a lot in common, our bithday is the same month you birthday is december 10th and mine is december 8th and i love you music.
20061108113134AA43jkY	Entertainment & Music;Music	Is Mr Nicky Trill alive and well ?	Not seen around for some time. Possibly moved from London.
20061111144718AA9LBe8	Entertainment & Music;Music	Ist spanishce Musik eine eigene Musikgatung wie z.b RnB,HipHop... etc?	Und k?ntet ihr mir vllt auch sagen wie einge spanishce s?nger hei?en ? Es sollten wirklich typische spanishce Lieder sein. (Gitarre im HIntergrund etc.)
20061112130512AA2g5gp	Entertainment & Music;Movies	Welcher ist der l?ngste Film der Welt?	N/A
20061115225236AAkAT0C	Entertainment & Music;Television	I wana go in television field so is there any institute from were i can learn about it about what to do it?	I am staying in Delhi so its nice if the institute is from delhi i heard something about noida filmcity but i dont know if there is something regarding going into this television field.
20061117082658AAtTRTj	Entertainment & Music;Music	I would like to know if anyone knows where I can get the words to the old Christian song "Heaven"?	I do not know much about it; my mom knows it better than me.   I believe one of the lines goes somthing like "Heaven, its a home above."
20061118022518AAzdkPk	Entertainment & Music;Television	Where i can watch friends tv show for free? thanks?	N/A
20061118025031AAiWnwh	Entertainment & Music;Music	Where can i downlaod free songs?	N/A
20061119054608AA9hiLo	Entertainment & Music;Music	Can anybody tell me the TIPS of making an AUDIO CD that works in a CAR ?	hi ,      i have NERO , so should i burn my SONGS by NERO EXPRESS or NERO BURNING ROM ?  and what is the TIPS of making it ? there are a LOT of options and i don't understand this lot of things .      thx
20061119223252AAFzIkp	Entertainment & Music;Music	Are you guys waiting for Evanescence New video "lithium"?	There are their 2nd single called "Lithium". and i can't wait for the video, CMWYS is cool too........
20061124120730AAOL1Kf	Entertainment & Music;Polls & Surveys	... deutscher Sprechgesang, Segen oder Fluch?	Dieses Zitat stammt aus einem Text der Fantastischen 4. Ist gut und gerne 14 Jahre her. Rap und HipHop haben in Europa keine Wurzeln. Bei Rap stellt man sich 50Cent vor, SnoopDog, Eminem - aber Rap in deutsch? Klingt das nicht albern und aufgesetzt? "Harte" Deutsch-Rapper wie SIDO, die einen Joint geraucht haben, und danach auf "Gangsta" machen? Albern, oder ernst zu nehmen?
20061122083912AA4ek1P	Entertainment & Music;Jokes & Riddles	Die Fahrkarte?	Eine Viererkarte für einen Bus kostet 1 Euro. Eine Einzelkarte kostet 30 Cent. Ein Mann betritt den Bus, gibt dem Fahrer wortlos 1 Euro und bekommt dafür eine Viererkarte. Woher wu?te der Fahrer, da? der Mann eine Viererkarte (und keine Einzelkarte) wollte?      Hinweis: Der Mann hatte keine weiteren Personen dabei und fuhr zum ersten Mal mit diesem Bus.
20061121115958AAhPlKO	Entertainment & Music;Music	Dalla classica alla elettrica?	Suono da 5 anni chitarra classica, e mi piacerebbe molto imparare la elettrica...però diciamo che non ho il "coraggio" di iniziare perchè penso che sarà troppo difficile, un cambiamento troppo grande...e in più 5 anni non sono un po pochi per cominciare già la elettrica?? Qualche consiglio?
20061122070131AAL3OKM	Entertainment & Music;Movies	Anyone know the name of this movie?	There is a very seductive movie opening that has a woman's beautiful legs pointing upward from a barrell or garbage can.  I'm not sure if its a James Bond intro or another movie.  Seems like it might have had Kim Bassinger or Jane Fonda???
20061122150914AAb5laB	Entertainment & Music;Movies	What type of silencer gun does James Bond use in the new movie Casino Royale?	N/A
20061124222124AAYKaes	Entertainment & Music;Television	What is spocks last name?	N/A
20061125055702AA8gnaX	Entertainment & Music;Music	Can you guys give me "trouble nobody" song by akon????	i really want this song thanxxxxxxx
20061125141115AALwDU0	Entertainment & Music;Television	Is there going to be a series 7 of two pints?	N/A
20061125185612AAsYYxM	Entertainment & Music;Music	Unete!!!!!!!!!!!!!!!!!!!!!!!?	aqui sumate puntos y    Unete   Un minuto de silencio:    http://mx.answers.yahoo.com/question/ind... 
20061126112358AAkBNPV	Entertainment & Music;Music	Vi piace billie joe?	N/A
20061129225932AAj3RDx	Entertainment & Music;Television	Where would I get the DVD of I dream of Jeanie in HINDI ? and of what price ?	This American serial used to come on Sony channel. in 1995- 1996.
20061129230349AAHoINM	Entertainment & Music;Television	Why did he make Lacey choke on the head of his  cock?	it was the one that made her retire from porn
20061201135404AAtlmbO	Entertainment & Music;Other - Entertainment	La parola o frase che ODIATE!?	Quella che vi fa venire il nervoso, che vi è stata detta come fulmine a ciel sereno e che sperate di non sentire mai +?
20061202070429AAAY2N4	Entertainment & Music;Music	Quale è il migliore assolo di chitarra di tutti i tempi?	N/A
20061203152711AA0yyZ7	Entertainment & Music;Music	What is the song to this video?	 http://www.youtube.com/watch?v=pVsD3p5cx... 
20061204130948AAVCmxl	Entertainment & Music;Polls & Surveys	What do you think of or imagine when I say the following statement?	OH MY! A FATTIE JUST GOT POO ALLOVER MY TOILET SEAT!
20061206115144AAKIVgW	Entertainment & Music;Music	Christians, will Christians be offended by these rap lyrics?	Here are the lyrics       You go to church every sunday    fornicate every monday   what are you some kind of dumb fake   religious hypocrite more than one way   vandalize your boyfriends wife hyundai      Here's the song    http://www.listentocharlie.com/music.htm...  track 5 Loose Screws
20061207043816AAc20TJ	Entertainment & Music;Music	Who sang this song?	I don't know the name of the song, but some of the lyrics go like this....        I've got something in my front pocket,     Just reach on in and grab it.     I've got something in my front pocket,     For you!      Thanks for any help.
20061207140808AA04QUO	Entertainment & Music;Television	I need a site with fairly good quality screen caps from the show The Wonder Years, can anyone help?	N/A
20061207215936AA9MxK3	Entertainment & Music;Movies	"Lord of Thieves"?	i watched a movie on tv hours ago. i didn't get the title, and i didn't get the name of the director. all i know is that it was about a group of orphan kids with the eldest acting as the "lord of thieves". they were hired to steal a wooden wing to complete this magical merry-go-round that can either make a person older or younger...      could you help me out and tell me what its title is and who directed it?       thanks. n_n
20061210104956AAicYdZ	Entertainment & Music;Polls & Surveys	Was war das tollste Konzert das ihr je besucht habt?	und warum war es so einzigartig?
20061210213648AANc9bD	Entertainment & Music;Music	I want to make a slow songs cd, know of any good ones?	I like mostly R&B, Old school, and some Pop
20061210223855AA5SLSJ	Entertainment & Music;Jokes & Riddles	Could someone possibly run out and get some more tequila?  No one here can drive!Thanks?	N/A
20061211001226AAjsIex	Entertainment & Music;Celebrities	Who is the model in the Hindware print add?	N/A
20061212181234AAWYjga	Entertainment & Music;Music	When you hear yourself on the phone or on a recording...?	is that how you sound when you talk to people around you? ive always wondered if thats how i sound when i hear myself after a recording, when my friend sounds nothing like he does on the recording
20061212192113AAUm3fP	Entertainment & Music;Music	What is the title of this song? And who sings it?	I heard this song on KWIN a coupld times the lyrics are a little mess up because I was riding them down while listening to it the dots mean I skip some words.    why wold I take you back so many sleepless night....  I dont really care how you feel inside all you ever did was make me cry maybe one day you will realize that you.....  how can I trust you how can I move on    Thats all I know for the lyrics please reply soon.
20061212233947AAY5SXP	Entertainment & Music;Jokes & Riddles	Bits of information to help you get through the day?	1. If you yelled for 8 years, 7 months and 6 days, you would have produced enough sound energy to heat one cup of coffee.    2. A pig's orgasm lasts for 30 minutes. (In my next life I want to be a pig!)    3. Banging your head against a wall uses 150 calories an hour. (DO NOT USE AS A WEIGHT LOSS SOLUTION)   4. Humans and dolphins are the only species that have sex forpleasure. (Is that why Flipper was always smiling?)   5. Polar bears are left handed.
20061215044318AAzPdI2	Entertainment & Music;Music	What was the singer Betty Boo referring to?	With regards to "doing the do"?
20061213103124AAyDcBg	Entertainment & Music;Music	Wer ist euer favourite german rap act und warum??	N/A
20061213225821AAciJRu	Entertainment & Music;Movies	I've been downloading movies from lime wire and now i would like to burn the movies onto a cd to play in dvd.	how do i get the movies from the lime wire program that i have downloaded onto a cd so i can watch them in my dvd player? do i need any softwear ? please explain how to do this it's driving me crazy!
20061214204642AAP9wfM	Entertainment & Music;Music	Whats the name of the song that goes like this "i cracked my head and broke my heart?	N/A
20061214205132AAJADXT	Entertainment & Music;Music	I am trying to find a song?	i want the song 'tomorrow never knows' by ulver on my myspace page.      and i cant effing find the whole song to download anywhere,      does anyone have a link. where the whole song is played. so that i can stick it in an embedded music player?
20061214205340AANi0O3	Entertainment & Music;Music	Best songs to bump to in your car.?	N/A
20061215214348AAdvGlf	Entertainment & Music;Music	Song helpppppppppp?	im looking for a pop rock song i heard a few years back  it goes 'doo doo doo doo doo dooooo doo'  thats really all i can remember and yeah i hope someone knows
20061216050425AARwwU4	Entertainment & Music;Polls & Surveys	Buchempfehlung?	Mir ist gerade langweilig und ich würde gerne ein Buch lesen, wei? aber nicht was für eins. Welches würdest du mir empfehlen? Warum gerade dieses?
20061217001234AAI3Rpx	Entertainment & Music;Movies	Has a performance by an actor ever changed your life? If so, what actor and which performance? And how did it?	N/A
20061217225531AAtC8BE	Entertainment & Music;Music	What does Bones by the Killers mean?	Line for line would be fantastic but if not the general meaning of the song would be good.
20061219094928AANmvfU	Entertainment & Music;Music	Does anyone know where i could find the theme song from the street fighter (with sonny chiba) in mp3 format?	Or any format actually,   and  I'm talking about the one from 1974, not about the Street Fighter movie made in 90 something
20061219110324AAfsZtL	Entertainment & Music;Music	Who sings the song with the lyrics, your such a ladykiller?	who sings the song with the lyrics, your such a ladykiller?
20061219161224AAXgheG	Entertainment & Music;Jokes & Riddles	Need a push ...?	A man and his wife are awakened at 3 o'clock in the morning by a loud pounding on the door........ The man gets up and goes to the door where a drunken stranger, standing in the pourin rain, is asking for a push. "Not a chance," says the husband, "It is three o'clock in the morning." He slams the door and returns to bed. "Who was that?" asked his wife. "Just some drunk guy asking for a push," he answers. "Did you help him?" she asks. "No. I did not. It is three o'clock in the morning and it is pouring rain outside!!. " His wife said, "Can't you remember about three months ago when we broke down and those two guys helped us? I think you should help him, and you should be ashamed of yourself!" The man does as he is told (of course!), gets dressed and goes out into the pouring rain. He calls out into the dark, "Hello! Are you still there?" "Yes," comes back the answer. "Do you still need a push?" calls out the husband. "Yes! Please!" comes the reply from the darkness. "Where are you?" asks the husband. "Over here on the swing!!" replies the drunk
20061220132147AAnZQI7	Entertainment & Music;Music	Got any tips for free music downloading websites?	N/A
20061220211033AATTLTf	Entertainment & Music;Movies	If you have seen Rocky Balboa please tell me about it, was it good?	N/A
20061221230523AASy5co	Entertainment & Music;Movies	How does the new rocky end?	N/A
20061222150405AAYi7dG	Entertainment & Music;Music	What should I have in a starting drum set for me (50) and my son, 10?	My 10 year old musicaly inclined  son wants to get a drum set, and since we have many guitars, pianos, etc, I am interested in this also.  Do not want a little kids set, but a full size beginners set.      Any suggestions, vintage, new, ebay?      Bill
20061222160238AARjLvK	Entertainment & Music;Music	For people who saw Rocky Balboa 6 (the one that just came out on December 20), I need you help.?	I have sceen all of the Rockys. I saw Rocky Balboa 6 the day it came out. For the people who have sceen Rockey Balboa 6 (which was absolutly amazing!!!!!), when Rocky went out to have his match with Mason 'the line' Dixon, what song did they play when Dixon came out. I know that it goes: "It's a fight, It's a fight! Hit 'em wit the left, hit em wit the right! It's a fight!..." I really need to the the artist and the name of the song. Thank You, and have Happy Holidays!! :-)
20061222161647AAHnrSh	Entertainment & Music;Movies	What was your favorite thing that walker and texas ranger said on talledega nights:the ballad of ricky bobby?	N/A
20061224114732AAtymk6	Entertainment & Music;Music	Im the best lyricist from this planet I think ! how can I sell my lyrics ? Who need my lyrics ?	N/A
20070101222136AA4ErDz	Entertainment & Music;Television	Acho a "Nana Gouveia" uma das mulheres + gatas do Brasil! A estoria com Silvio Santos é verdadeira???	Acho a "Nana Gouveia" uma das mulheres + gatas do Brasil, assim como tbem acho a Juliana Paes(qdo + cheinha, pq agora d frente num dá + pra ver o corpo viol?o dela, apesar que dlado ela ainda mostre o qto é bela) ! A estoria com Silvio Santos e Nana Golveia é verdadeira??? Realmente Silvio se separ? por causa de Nana Golveia? Acho ela mto gata! Sei q ela particip?o de um programa na emissora de Silvio Santos, mas sobre esse caso eu num sei nada! Rsrsrsrs! Quem pode confirmar por base em alguma notícia???
20070102051010AAxesWx	Entertainment & Music;Movies	Ouvi falar q o novo 007 tá + pra "miss?o impossivel" ou "Triplo XXX"!! é verdade??	N/A
20061228070321AAAp5k0	Entertainment & Music;Movies	Em q cena de filme vc mais se emocionou?	Em q cena de filme vc mais se emocionou?
20070108114110AAWTIBt	Entertainment & Music;Celebrities	Is Salma Hayek the most famous Mexican actress in the USA?	N/A
20070108124621AAwdfv2	Entertainment & Music;Music	5 luxos e 1 lixo - Musicas?	Quais sao as 5 melhores musicas de todos o tempos? e a pior?
20070112110451AAlPs4c	Entertainment & Music;Movies	Diga uma frase que marcou em algum filme que assistiu?	deixe a fala e o nome do file por favor;hummm eo melhor a explica??o por que nafrase te marcou tanto????
20070112112340AAqPNdt	Entertainment & Music;Music	Dez musicas q naum pode, faltar no seu mp3?	N/A
20070114160802AALsL5u	Entertainment & Music;Television	Se vc fosse um personagem de desnho animado qual seria e por que?	N/A
20070114161047AATv5Nt	Entertainment & Music;Music	Quais musicas me indicaria ouvir?	N/A
20070114161636AAb1Xt0	Entertainment & Music;Movies	Mude os atores....?	se fossem refilmar quem vc gostaria q fizesse o casal de uma linda mulher/o rock balboa/matrix-o neo/o casal de titanic???
20070114162131AA9s8Re	Entertainment & Music;Magazines	Me inique uma biografia que vale a pena ler?	N/A
20070115094936AA7ufbr	Entertainment & Music;Television	Comercial mais engra?ado 2006/2007?	N/A
20070115092852AAeveWd	Entertainment & Music;Movies	Me indiquem 5 lan?amentos!?	seguinte tem que ser atuaispor que vejo muito filmes ogenero n?o importa muito assisto tudo um ab? e obrigado!!!
20070115101721AAZ1TEO	Entertainment & Music;Music	Se fosse passar sua vida num video clipe qual seria a trilha sonora?	N/A
20070115101556AAu0qPq	Entertainment & Music;Television	Retorospectiva o que do ano de 2006 vc vai demorar pra esquecer?	um acontecimento que vc ache que marcou muito!!!
20070104165441AAe1SLC	Entertainment & Music;Movies	Qual o melhor filme de drama que ja viu e por que vc considera o melhor?	N/A
20070108124429AAoystR	Entertainment & Music;Polls & Surveys	Qual a sua opini?o sobre esse pensamento?	Os políticos, assim como as fraldas, devem ser trocados constantemente. E sempre pelo mesmo motivo!
20070104174350AAObqcd	Entertainment & Music;Movies	La Vita e Bella (Life is Beautiful) directed by Roberto Benigni, premiered 1997. Need link to watch it?	Please post me a direct link where i can watch the entire movie for free. it is italian....thx
20061228134809AAFCdCo	Entertainment & Music;Polls & Surveys	Si pudieras transformarte en un animal,cual serias y por que?	N/A
20061231192414AApo62M	Entertainment & Music;Jokes & Riddles	OK, Joke...?	OK, so a blonde woman is driving across the midwest.  She's passing miles of wheat when she sees another blonde woman sitting in a rowboat in the middle of a field.  When she pulls over and asks what the woman is doing, the blonde in the rowboat says, "I'm rowing because this is a sea of wheat!"   The blonde that was driving starts screaming at her: "You idiot!  It's people like you that give blondes a bad name!"  As she gets back in her car she yells, "You know, you're real lucky I can't swim or I'd go out there and kick your butt!"
20070115173718AATJhJV	Entertainment & Music;Other - Entertainment	Nome da musica de abertura do programa do amaury jr?	Queria saber o nome da cantora e do grupo e aonde eu acho esta musica
20070114142429AADSHCt	Entertainment & Music;Other - Entertainment	Big Brother YR, quem se inscreve??	rsrsrsrs
20070106022135AA5g0jg	Entertainment & Music;Polls & Surveys	HOMENS: o que mais anseiam em termos de aten??o numa mulher?	O que gostam que as vossas mulheres ou namoradas vos dê aten?   ?o?   O que mais precisam a que elas vos dêm aten??o?   á maneira como se vestem?   Ao penteado, aos sentimentos, gostos, etc?   Fa?am uma lista a come?ar peo que mais precisam que elas vos dêm aten??o até ao quie menos sentem!   N?o é preciso porem o que aqui deixei (sentimentos corte de cabelo...) apenas, podem escrever ais e podem até nem precisar de aten??o para algumas destas coisas...   Escrevam apenas o que precisam...seja o que for...   Beijinhos docesss
20070106021624AAfc69Q	Entertainment & Music;Polls & Surveys	Quem ou o que levariam para uma ilha deserta paradisiaca, sabendo que lá ficariam o resto da vida?	N/A
20070106022319AAL7MPV	Entertainment & Music;Polls & Surveys	HOMENS: têm preferencia no beijar???	Qual o tipo de beijo que mais gosta receber das namoradas e mulheres em cada ambiente?   Em casa, ao pé de amigos, de familiares etc...   Jinhossss
20070115102615AAD7wet	Entertainment & Music;Polls & Surveys	Porque é que as más críticas acabam por magoar ou ferir sempre, muito ou pouco mais cedo ou mais tarde??	Porque no funfo valorizamos opini?es de quem nem sequer nos interessa?   Porque nos deixamos influenciar por opini?es até de desconhecidos, porque n?o dar ouvidos a nos e sentirmo-nos bem connosco p′roprios?   Fa?o esta pergunta mas para a analisarem desta vertente, n?o para por exemplo dzerem que nem todos o fazemos...   Queria que dessem a vossa opini?o do porquê todos nós o fazermos, mesmo sem nos apercebermos numa ou outra coisa pr mais simples que seja?   O porque do ser humano sentir um poco coisas que no fundo nem s?o verdade???   Beijokasss
20070115101434AAXt3nk	Entertainment & Music;Polls & Surveys	Vocs acreditam em...?	beijinhos e digam o que vos apetecer e vier  cabe?a...
20070115102034AAIrfVv	Entertainment & Music;Polls & Surveys	Pensem na primeira coisa que vos vier á cabe?a, o que representa nas vossas vidas???	N/A
20070113072705AA5LW09	Entertainment & Music;Polls & Surveys	Wo in Schleswig Holstein kann man am besten ausgehen?	N/A
20061228123259AAnESh5	Entertainment & Music;Celebrities	Como así que robbie williams no quiere tener hijos, cual es su opinión?	N/A
20061228123452AA7YpjB	Entertainment & Music;Movies	?Quien dijo "No somos dioses pero somos ingleses que es casi lo mismo"?	Yo ya lo se pero os lo pregunto por vuestro bien, je je je.
20070115104729AAfCLuI	Entertainment & Music;Other - Entertainment	Balzaqueanas ou Balzaquianas???	Ele s gostava das mulheres balzaqueanas.  Ele s gostava das mulheres balzaquianas.    10 pts. pra quem responder certo e explicar com as prprias palavras.    ./),,,/)  (=';'=)  (,('')('') Beijos!
20070104171002AADCgGw	Entertainment & Music;Movies	Quais sao os melhores filmes de comedia?	as branquelas
20070110173031AAiSAfm	Entertainment & Music;Television	Pessoal! qual o apresentador mais chato, aquele insuportável da TV brasileira? Diz aí pra mim.?	Fiquei pensando esta semana que somos pobres e muito pobres ainda quando o assunto é programas de auditório na tv e tive uma certa dificuldade de escolher o pior. Será que a sua opini?o é a mesma? Participe da minha enquete e ajude esses caras a tomar simancol e melhorar a programa??o, principalmente aos domingos.
20061231203953AAJn0wE	Entertainment & Music;Movies	Filmes nacionais...vc gosta?	quais os seus favoritos e pq???  bjos a todos
20070116081549AAhURT6	Entertainment & Music;Other - Entertainment	Como eu fa?o pra colocar minha foto no lugar do avatar???	Eu sou nova ki e ainda nao descobri como fa?o isso... podem me explicar detalhadamente? bjos a todos    ;-p
20070111121802AAIoZUF	Entertainment & Music;Television	Vcs viram alguém humilde nesse BBB? Só tem metidos.?	Todos universitários ou bem profissionalmente...com exce??o da mineira que vende roupas, que aparenta ser bem sincera. T   em gente que disse que faz até 2 faculdades ao mesmo tempo!      Será que n?o v?o ficar humildes no final?      Postei esta pergunta, pois achei interessante a resposta do colega Enio na pergunta anterior.      Ah, e tem alguém aqui que tentou entrar no BBB?  Eu n?o teria coragem...mais acho legal quem tentou, como minha irm?.Bjs.
20070105110726AAgszfk	Entertainment & Music;Movies	Quem você considera o melhor ator e a melhor atriz?	Brasileiro(a) e internacionais?
20061230202731AABgvCm	Entertainment & Music;Jokes & Riddles	Who's..brain..would you..buy for a..transplant...Einstein's or Blond's?	I'll take blond's...I can be sure it's slightly used....
20070116092008AAE5bxQ	Entertainment & Music;Polls & Surveys	Qual a sua área predileta para responder?	Você prefere ficar respondendo em "todas as categorias" ou costuma ir especificamente em uma?   Se fica em "Todas as categorias" qual o tipo de pergunta que detesta e n?o aguenta mais?       Obs: N?o vale dizer: "Dessas que perguntam sobre que tipo de pergunta vc detesta"!!!!!
20070103125912AAFu680	Entertainment & Music;Movies	Qual ator ou atriz de Hollywood,que ainda n?o ganhou o Oscar,merece o prêmio?	N/A
20070105124734AA8u60r	Entertainment & Music;Movies	Sempre que eu vou a locadora n?o sei que filme escolher, vcs podem me ajudar?	Para ser mais fácil a minha escolha, se puder fa?a um pequeno resumo ou diga que tipo de filme é ex: comédia, terror, romance.
20070105134031AAknYfw	Entertainment & Music;Music	Qual a música mais engra?ada que vc ouviu até hj? Que te fez chorar de rir???	Poe um pedacinho aí... a letra de música mais engra?ada que vc já ouviu...
20070110143954AAQBJ9J	Entertainment & Music;Movies	Qual filme que está em cartaz esta semana é o mais legal?	N/A
20070116041427AAGlGR4	Entertainment & Music;Music	Por que "todas" as pessoas associam REGGAE com MACONHA?	Num mundo tao evoluido, tao globalizado...ainda existe esse preconceito com quem curte um bom reggae...por que?
20070113070726AAeyVKO	Entertainment & Music;Television	Quais os cinco piores e os cinco melhores programas da Globo e da Record?	N/A
20061231120312AAbYO0W	Entertainment & Music;Celebrities	Ashley Tisdale's current adress?	I would love to meet her and interview her!
